source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc1,e7,0,-1,0,04290.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc2,e7,0,-1,0,00024.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc3,e7,0,-1,0,04173.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc4,e7,0,-1,0,00091.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc5,e7,0,-1,0,02675.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc6,e7,0,-1,0,00523.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc8,e7,0,-1,0,00691.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc9,e7,0,-1,0,03381.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc10,e7,0,-1,0,03157.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc11,e7,0,-1,0,01058.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc12,e7,0,-1,0,01773.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc15,e7,0,-1,0,03438.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc16,e7,0,-1,0,02022.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc17,e7,0,-1,0,00692.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc18,e7,0,-1,0,03902.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc19,e7,0,-1,0,03009.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc97,e98,0,-1,1,04041.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc99,e98,0,-1,1,00612.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc100,e98,0,-1,1,03384.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc101,e98,0,-1,1,01364.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc90,e89,0,-1,2,03213.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc91,e89,0,-1,2,03982.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc92,e89,0,-1,2,04278.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc102,e89,0,-1,2,00090.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc103,e89,0,-1,2,00582.txt,00084.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc104,e109,0,-1,3,03563.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc105,e109,0,-1,3,01985.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc106,e109,0,-1,3,01787.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc107,e109,0,-1,3,01965.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc108,e109,0,-1,3,00398.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc112,e109,0,-1,3,03232.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc110,e120,0,-1,4,00910.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc111,e120,0,-1,4,01221.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc121,e120,0,-1,4,03875.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc113,e116,0,-1,5,04413.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc114,e116,0,-1,5,00073.txt,00109.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
